ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
rtr:G0R3, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port1, Accumulator, 77898966001, 0, 74494885, 891298047787, 78917
rtr:G0R3, send_bit_count, port2, Accumulator, 77898966001, 0, 19265024, 8784822272, 42248
rtr:G0R3, send_packet_count, port2, Accumulator, 77898966001, 0, 42248, 42248, 42248
rtr:G0R3, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port2, Accumulator, 77898966001, 0, 74674640, 31604289713512, 64284
rtr:G0R3, send_bit_count, port3, Accumulator, 77898966001, 0, 19263232, 8784019456, 42244
rtr:G0R3, send_packet_count, port3, Accumulator, 77898966001, 0, 42244, 42244, 42244
rtr:G0R3, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port3, Accumulator, 77898966001, 0, 74618272, 15720102244568, 69723
rtr:G0R3, send_bit_count, port4, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G0R3, send_packet_count, port4, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G0R3, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port4, Accumulator, 77898966001, 0, 74594850, 7215810040524, 70914
rtr:G0R3, send_bit_count, port5, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R3, send_packet_count, port5, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R3, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port5, Accumulator, 77898966001, 0, 76797192, 61102356044504, 36770
rtr:G0R3, send_bit_count, port6, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R3, send_packet_count, port6, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R3, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port6, Accumulator, 77898966001, 0, 76819264, 60392549976128, 37105
rtr:G0R3, send_bit_count, port7, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R3, send_packet_count, port7, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R3, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port7, Accumulator, 77898966001, 0, 76836252, 59164133311472, 37297
rtr:G0R3, send_bit_count, port8, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R3, send_packet_count, port8, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R3, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port8, Accumulator, 77898966001, 0, 76817606, 62778400373284, 36047
rtr:G0R3, xbar_stalls, port0, Accumulator, 77898966001, 0, 6972, 6972, 6972
rtr:G0R3, xbar_stalls, port1, Accumulator, 77898966001, 0, 5980, 5980, 5980
rtr:G0R3, xbar_stalls, port2, Accumulator, 77898966001, 0, 4969, 4969, 4969
rtr:G0R3, xbar_stalls, port3, Accumulator, 77898966001, 0, 6732, 6732, 6732
rtr:G0R3, xbar_stalls, port4, Accumulator, 77898966001, 0, 6379, 6379, 6379
rtr:G0R3, xbar_stalls, port5, Accumulator, 77898966001, 0, 679, 679, 679
rtr:G0R3, xbar_stalls, port6, Accumulator, 77898966001, 0, 690, 690, 690
rtr:G0R3, xbar_stalls, port7, Accumulator, 77898966001, 0, 849, 849, 849
rtr:G0R3, xbar_stalls, port8, Accumulator, 77898966001, 0, 664, 664, 664
rtr:G1R0, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port0, Accumulator, 77898966001, 0, 74495227, 881721231533, 78873
rtr:G1R0, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port1, Accumulator, 77898966001, 0, 74493167, 895911287131, 79185
rtr:G1R0, send_bit_count, port2, Accumulator, 77898966001, 0, 19266816, 8785625088, 42252
rtr:G1R0, send_packet_count, port2, Accumulator, 77898966001, 0, 42252, 42252, 42252
rtr:G1R0, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port2, Accumulator, 77898966001, 0, 74629684, 9231871363168, 69840
rtr:G1R0, send_bit_count, port3, Accumulator, 77898966001, 0, 19266816, 8785625088, 42252
rtr:G1R0, send_packet_count, port3, Accumulator, 77898966001, 0, 42252, 42252, 42252
rtr:G1R0, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port3, Accumulator, 77898966001, 0, 74627162, 10701857169860, 69639
rtr:G1R0, send_bit_count, port4, Accumulator, 77898966001, 0, 19266816, 8785625088, 42252
rtr:G1R0, send_packet_count, port4, Accumulator, 77898966001, 0, 42252, 42252, 42252
rtr:G1R0, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port4, Accumulator, 77898966001, 0, 74659100, 22836648041592, 64986
rtr:G1R0, send_bit_count, port5, Accumulator, 77898966001, 0, 9346048, 4261740544, 20496
rtr:G1R0, send_packet_count, port5, Accumulator, 77898966001, 0, 20496, 20496, 20496
rtr:G1R0, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port5, Accumulator, 77898966001, 0, 76824120, 62759404947440, 35690
rtr:G1R0, send_bit_count, port6, Accumulator, 77898966001, 0, 9345600, 4261539840, 20495
rtr:G1R0, send_packet_count, port6, Accumulator, 77898966001, 0, 20495, 20495, 20495
rtr:G1R0, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port6, Accumulator, 77898966001, 0, 77491482, 50451761798044, 37122
rtr:G1R0, send_bit_count, port7, Accumulator, 77898966001, 0, 9346048, 4261740544, 20496
rtr:G1R0, send_packet_count, port7, Accumulator, 77898966001, 0, 20496, 20496, 20496
rtr:G1R0, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port7, Accumulator, 77898966001, 0, 77470014, 50495469205716, 37723
rtr:G1R0, send_bit_count, port8, Accumulator, 77898966001, 0, 9339328, 4258729984, 20481
rtr:G1R0, send_packet_count, port8, Accumulator, 77898966001, 0, 20481, 20481, 20481
rtr:G1R0, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R0, idle_time, port8, Accumulator, 77898966001, 0, 77447902, 59568160051564, 37211
rtr:G1R0, xbar_stalls, port0, Accumulator, 77898966001, 0, 6975, 6975, 6975
rtr:G1R0, xbar_stalls, port1, Accumulator, 77898966001, 0, 7086, 7086, 7086
rtr:G1R0, xbar_stalls, port2, Accumulator, 77898966001, 0, 7520, 7520, 7520
rtr:G1R0, xbar_stalls, port3, Accumulator, 77898966001, 0, 5774, 5774, 5774
rtr:G1R0, xbar_stalls, port4, Accumulator, 77898966001, 0, 4133, 4133, 4133
rtr:G1R0, xbar_stalls, port5, Accumulator, 77898966001, 0, 351, 351, 351
rtr:G1R0, xbar_stalls, port6, Accumulator, 77898966001, 0, 258, 258, 258
rtr:G1R0, xbar_stalls, port7, Accumulator, 77898966001, 0, 747, 747, 747
rtr:G1R0, xbar_stalls, port8, Accumulator, 77898966001, 0, 677, 677, 677
rtr:G1R1, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port0, Accumulator, 77898966001, 0, 74495547, 908552058771, 78906
rtr:G1R1, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port1, Accumulator, 77898966001, 0, 74496181, 895375173493, 78896
rtr:G1R1, send_bit_count, port2, Accumulator, 77898966001, 0, 19266816, 8785625088, 42252
rtr:G1R1, send_packet_count, port2, Accumulator, 77898966001, 0, 42252, 42252, 42252
rtr:G1R1, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port2, Accumulator, 77898966001, 0, 74622974, 7566246786996, 69603
rtr:G1R1, send_bit_count, port3, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G1R1, send_packet_count, port3, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G1R1, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port3, Accumulator, 77898966001, 0, 74473368, 20174671727368, 63838
rtr:G1R1, send_bit_count, port4, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G1R1, send_packet_count, port4, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G1R1, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port4, Accumulator, 77898966001, 0, 74595372, 28072246214408, 63548
rtr:G1R1, send_bit_count, port5, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R1, send_packet_count, port5, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R1, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port5, Accumulator, 77898966001, 0, 76716416, 60647568670288, 36926
rtr:G1R1, send_bit_count, port6, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R1, send_packet_count, port6, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R1, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port6, Accumulator, 77898966001, 0, 76747452, 62446356904672, 37005
rtr:G1R1, send_bit_count, port7, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R1, send_packet_count, port7, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R1, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port7, Accumulator, 77898966001, 0, 76765682, 60931949767316, 36993
rtr:G1R1, send_bit_count, port8, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R1, send_packet_count, port8, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R1, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R1, idle_time, port8, Accumulator, 77898966001, 0, 76793708, 59201019723200, 37054
rtr:G1R1, xbar_stalls, port0, Accumulator, 77898966001, 0, 7813, 7813, 7813
rtr:G1R1, xbar_stalls, port1, Accumulator, 77898966001, 0, 8406, 8406, 8406
rtr:G1R1, xbar_stalls, port2, Accumulator, 77898966001, 0, 4126, 4126, 4126
rtr:G1R1, xbar_stalls, port3, Accumulator, 77898966001, 0, 6635, 6635, 6635
rtr:G1R1, xbar_stalls, port4, Accumulator, 77898966001, 0, 4681, 4681, 4681
rtr:G1R1, xbar_stalls, port5, Accumulator, 77898966001, 0, 741, 741, 741
rtr:G1R1, xbar_stalls, port6, Accumulator, 77898966001, 0, 1045, 1045, 1045
rtr:G1R1, xbar_stalls, port7, Accumulator, 77898966001, 0, 1107, 1107, 1107
rtr:G1R1, xbar_stalls, port8, Accumulator, 77898966001, 0, 814, 814, 814
rtr:G1R2, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port0, Accumulator, 77898966001, 0, 74497897, 893193111463, 78700
rtr:G1R2, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port1, Accumulator, 77898966001, 0, 74495279, 889787152065, 79067
rtr:G1R2, send_bit_count, port2, Accumulator, 77898966001, 0, 19266816, 8785625088, 42252
rtr:G1R2, send_packet_count, port2, Accumulator, 77898966001, 0, 42252, 42252, 42252
rtr:G1R2, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port2, Accumulator, 77898966001, 0, 74622212, 10557976569896, 70442
rtr:G1R2, send_bit_count, port3, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G1R2, send_packet_count, port3, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G1R2, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port3, Accumulator, 77898966001, 0, 74575432, 17296459871752, 64856
rtr:G1R2, send_bit_count, port4, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G1R2, send_packet_count, port4, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G1R2, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port4, Accumulator, 77898966001, 0, 74541468, 12324905227640, 70285
rtr:G1R2, send_bit_count, port5, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R2, send_packet_count, port5, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R2, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port5, Accumulator, 77898966001, 0, 76780120, 62783823198840, 36551
rtr:G1R2, send_bit_count, port6, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G1R2, send_packet_count, port6, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G1R2, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G1R2, idle_time, port6, Accumulator, 77898966001, 0, 76817982, 59477037171380, 37401
